기간	자치구	동	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2020	성북구	종암동	17,260	40,945	19,787	21,158	16,268	38,116	18,474	19,642	6	80	44	36	5	555	235	320	981	1,346	483	863
2020	성북구	석관동	15,862	35,958	17,603	18,355	15,419	34,310	16,702	17,608	X	25	8	17	X	212	57	155	438	826	430	396
2020	강북구	소계	131,884	299,535	144,779	154,756	129,805	290,437	139,796	150,641	41	371	234	137	31	1,938	537	1,401	2,007	3,205	1,411	1,794
2020	강북구	번1동	9,514	18,848	9,308	9,540	9,248	18,022	8,885	9,137	7	62	33	29	X	108	37	71	258	395	168	227
2020	강북구	번2동	7,028	15,908	7,685	8,223	6,986	15,636	7,505	8,131	X	X	X	X	X	29	5	24	40	74	33	41
2020	강북구	번3동	7,159	16,994	7,961	9,033	7,142	16,793	7,812	8,981	X	X	X	X	X	X	X	X	17	26	13	13
2020	강북구	수유1동	9,286	20,423	10,038	10,385	9,166	19,823	9,668	10,155	5	40	32	8	X	144	72	72	111	178	78	100
2020	강북구	수유2동	8,792	20,591	9,792	10,799	8,720	20,196	9,554	10,642	X	23	6	17	X	45	11	34	66	105	47	58
2020	강북구	수유3동	11,766	22,975	11,289	11,686	11,500	22,149	10,802	11,347	6	65	47	18	X	23	17	6	259	384	167	217
2020	강북구	삼양동	9,916	23,494	11,611	11,883	9,825	23,054	11,297	11,757	X	7	X	7	X	X	X	X	90	132	59	73
2020	강북구	미아동	10,841	22,156	10,464	11,692	10,522	21,009	9,912	11,097	X	37	30	7	X	298	85	213	311	495	218	277
2020	강북구	송중동	13,027	29,719	14,154	15,565	12,647	28,355	13,563	14,792	X	22	X	18	X	330	30	300	374	627	266	361
2020	강북구	송천동	12,233	26,986	13,297	13,689	11,934	25,848	12,681	13,167	6	53	31	22	X	269	92	177	290	474	222	252
2020	강북구	삼각산동	11,062	30,954	14,875	16,079	11,035	30,630	14,599	16,031	X	X	X	X	X	X	X	X	27	43	17	26
2020	강북구	우이동	8,360	20,038	9,696	10,342	8,286	19,367	9,364	10,003	X	34	27	7	X	340	96	244	68	108	54	54
2020	강북구	인수동	12,900	30,449	14,609	15,840	12,794	29,555	14,154	15,401	X	28	24	X	8	352	92	260	96	164	69	95
2020	도봉구	소계	128,378	315,979	153,080	162,899	127,362	308,747	148,819	159,928	19	168	68	100	30	2,029	510	1,519	967	1,539	724	815
2020	도봉구	쌍문1동	8,750	21,779	10,193	11,586	8,698	20,805	9,856	10,949	X	X	X	X	7	689	154	535	45	74	32	42
2020	도봉구	쌍문2동	8,016	18,801	8,968	9,833	7,935	18,338	8,702	9,636	X	20	6	14	X	99	9	90	76	134	76	58
2020	도봉구	쌍문3동	7,466	16,483	7,881	8,602	7,363	16,132	7,666	8,466	X	26	8	18	X	X	X	X	100	145	65	80
2020	도봉구	쌍문4동	6,783	18,486	8,754	9,732	6,768	18,295	8,596	9,699	X	X	X	X	X	X	X	X	15	25	9	16
2020	도봉구	방학1동	11,687	28,070	13,853	14,217	11,541	27,365	13,442	13,923	X	28	7	21	X	135	20	115	139	195	91	104
2020	도봉구	방학2동	8,579	19,599	9,859	9,740	8,473	19,144	9,555	9,589	X	7	X	6	X	X	X	X	105	185	95	90
2020	도봉구	방학3동	9,559	27,168	13,155	14,013	9,537	26,474	12,786	13,688	X	6	X	6	X	369	95	274	18	39	23	16
2020	도봉구	창1동	10,183	24,432	11,604	12,828	10,103	24,070	11,340	12,730	X	12	10	X	X	X	X	X	79	115	44	71
2020	도봉구	창2동	11,524	29,054	14,138	14,916	11,418	28,249	13,628	14,621	X	20	10	10	X	218	100	118	100	198	102	96
2020	도봉구	창3동	5,977	13,933	6,922	7,011	5,919	13,620	6,716	6,904	X	X	X	X	X	38	8	30	57	88	39	49
2020	도봉구	창4동	10,018	26,182	12,609	13,573	9,984	25,813	12,289	13,524	X	X	X	X	X	X	X	X	34	59	29	30
2020	도봉구	창5동	9,625	24,454	11,704	12,750	9,554	23,963	11,413	12,550	X	6	X	6	X	141	26	115	68	91	35	56
2020	도봉구	도봉1동	9,222	20,685	10,362	10,323	9,137	20,199	10,066	10,133	X	32	15	17	X	121	46	75	78	111	57	54
2020	도봉구	도봉2동	10,989	26,853	13,078	13,775	10,932	26,280	12,764	13,516	X	11	11	X	X	219	52	167	53	80	27	53
2020	노원구	소계	204,210	511,982	246,317	265,665	202,695	497,776	237,619	260,157	50	414	191	223	36	5,126	1,924	3,202	1,429	2,319	1,173	1,146
2020	노원구	월계1동	9,889	23,195	11,947	11,248	9,576	21,564	10,958	10,606	5	39	23	16	5	699	357	342	303	490	293	197
2020	노원구	월계2동	11,425	26,816	12,912	13,904	11,385	26,397	12,593	13,804	X	X	X	X	X	16	X	12	39	69	30	39
2020	노원구	월계3동	12,309	29,641	14,153	15,488	12,265	29,232	13,850	15,382	X	6	5	X	X	X	X	X	43	97	42	55
2020	노원구	공릉2동	15,758	40,575	19,449	21,126	15,508	38,132	18,335	19,797	16	127	21	106	X	1,208	360	848	232	381	208	173
2020	노원구	하계1동	10,679	27,682	13,345	14,337	10,616	25,660	12,155	13,505	X	15	12	X	6	1,388	694	694	55	83	39	44
2020	노원구	하계2동	7,939	21,990	10,467	11,523	7,924	21,652	10,218	11,434	X	X	X	X	X	71	6	65	14	24	13	11
2020	노원구	중계본동	7,884	24,008	11,759	12,249	7,869	23,613	11,437	12,176	X	8	X	X	X	81	41	40	13	25	11	14
2020	노원구	중계1동	8,700	26,623	13,000	13,623	8,642	26,220	12,674	13,546	X	X	X	X	X	29	9	20	57	74	36	38
2020	노원구	중계4동	7,886	20,089	9,689	10,400	7,865	19,636	9,398	10,238	X	12	11	X	X	204	70	134	18	26	14	12
2020	노원구	상계1동	14,597	38,051	18,401	19,650	14,538	37,082	17,878	19,204	X	6	X	6	6	483	134	349	52	74	33	41
2020	노원구	상계2동	8,063	20,125	9,928	10,197	7,961	19,511	9,508	10,003	6	61	44	17	X	103	39	64	94	143	72	71
2020	노원구	상계5동	10,085	24,007	11,557	12,450	10,025	23,507	11,254	12,253	X	20	5	15	X	118	20	98	56	87	38	49
2020	노원구	상계8동	8,747	22,389	10,756	11,633	8,738	22,183	10,576	11,607	X	X	X	X	X	X	X	X	9	13	5	8
2020	노원구	상계9동	8,009	20,550	9,790	10,760	7,994	20,269	9,556	10,713	X	X	X	X	X	X	X	X	15	32	12	20
2020	노원구	상계10동	6,267	15,695	7,201	8,494	6,248	15,478	7,019	8,459	X	6	6	X	X	X	X	X	18	35	17	18
2020	노원구	상계3.4동	10,932	25,887	12,763	13,124	10,884	25,471	12,455	13,016	X	34	13	21	X	X	X	X	44	73	35	38
2020	노원구	상계6.7동	13,102	32,476	15,056	17,420	13,044	31,756	14,613	17,143	X	30	18	12	X	280	100	180	52	86	35	51
2020	노원구	중계2.3동	14,400	34,563	15,911	18,652	14,359	33,861	15,500	18,361	X	13	7	6	X	282	65	217	37	60	27	33
2020	노원구	공릉1동	17,539	37,620	18,233	19,387	17,254	36,552	17,642	18,910	5	37	22	15	X	164	25	139	278	447	213	234
2020	은평구	소계	192,581	463,102	221,828	241,274	190,631	450,207	213,654	236,553	43	409	198	211	34	4,065	2,175	1,890	1,873	3,233	1,504	1,729
2020	은평구	녹번동	15,898	37,283	17,673	19,610	15,705	35,712	16,845	18,867	X	29	25	X	6	818	298	520	185	316	161	155
2020	은평구	불광1동	16,130	37,940	17,971	19,969	15,989	37,291	17,522	19,769	X	37	8	29	X	X	X	X	137	213	96	117
2020	은평구	갈현1동	10,049	22,811	11,116	11,695	9,944	22,278	10,755	11,523	X	27	25	X	X	42	6	36	100	189	101	88
2020	은평구	갈현2동	11,600	28,625	13,570	15,055	11,473	27,798	13,066	14,732	X	9	9	X	X	261	115	146	122	216	95	121
2020	은평구	구산동	11,930	31,971	15,811	16,160	11,848	30,071	14,273	15,798	6	48	21	27	X	1,348	1,149	199	72	167	76	91
2020	은평구	대조동	13,045	26,694	12,378	14,316	12,810	25,955	11,955	14,000	5	48	28	20	X	21	X	21	229	373	163	210
2020	은평구	응암1동	11,270	26,444	12,493	13,951	11,145	25,330	11,869	13,461	X	45	20	25	X	537	229	308	118	190	89	101
2020	은평구	응암2동	10,184	26,691	12,962	13,729	10,121	26,302	12,680	13,622	X	6	X	6	X	X	X	X	62	122	60	62
